"zona","barrio","condcasa","acons","aremo","aventa","precio"
"RL","CollgCr",5,2003,2003,2008,208500
"RL","Veenker",8,1976,1976,2007,181500
"RL","CollgCr",5,2001,2002,2008,223500
"RL","Crawfor",5,1915,1970,2006,140000
"RL","NoRidge",5,2000,2000,2008,250000
"RL","Mitchel",5,1993,1995,2009,143000
"RL","Somerst",5,2004,2005,2007,307000
"RL","NWAmes",6,1973,1973,2009,200000
"RM","OldTown",5,1931,1950,2008,129900
"RL","BrkSide",6,1939,1950,2008,118000
"RL","Sawyer",5,1965,1965,2008,129500
"RL","NridgHt",5,2005,2006,2006,345000
"RL","Sawyer",6,1962,1962,2008,144000
"RL","CollgCr",5,2006,2007,2007,279500
"RL","NAmes",5,1960,1960,2008,157000
"RM","BrkSide",8,1929,2001,2007,132000
"RL","NAmes",7,1970,1970,2010,149000
"RL","Sawyer",5,1967,1967,2006,90000
"RL","SawyerW",5,2004,2004,2008,159000
"RL","NAmes",6,1958,1965,2009,139000
"RL","NridgHt",5,2005,2006,2006,325300
"RM","IDOTRR",7,1930,1950,2007,139400
"RL","CollgCr",5,2002,2002,2008,230000
"RM","MeadowV",7,1976,1976,2007,129900
"RL","Sawyer",8,1968,2001,2010,154000
"RL","NridgHt",5,2007,2007,2009,256300
"RL","NAmes",7,1951,2000,2010,134800
"RL","NridgHt",5,2007,2008,2010,306000
"RL","NAmes",6,1957,1997,2006,207500
"RM","BrkSide",6,1927,1950,2008,68500
"C (all)","IDOTRR",4,1920,1950,2008,40000
"RL","Sawyer",6,1966,2006,2008,149350
"RL","CollgCr",5,2007,2007,2008,179900
"RL","NAmes",5,1959,1959,2010,165500
"RL","NridgHt",5,2005,2005,2007,277500
"RL","NridgHt",5,2004,2005,2006,309000
"RL","CollgCr",5,1994,1995,2009,145000
"RL","NAmes",6,1954,1990,2009,153000
"RL","NAmes",7,1953,2007,2010,109000
"RL","Edwards",5,1955,1955,2008,82000
"RL","NAmes",5,1965,1965,2006,160000
"RL","Timber",6,1959,1959,2007,170000
"RL","SawyerW",7,1983,1983,2007,144000
"RL","CollgCr",6,1975,1980,2008,130250
"RL","NAmes",6,1959,1959,2006,141000
"RL","NridgHt",5,2005,2005,2010,319900
"RL","Mitchel",5,2003,2003,2009,239686
"FV","Somerst",5,2006,2006,2007,249700
"RM","OldTown",5,1920,2008,2009,113000
"RL","Sawyer",7,1966,1966,2007,127000
"RL","Gilbert",6,1997,1997,2007,177000
"RM","BrkSide",6,1934,1950,2006,114500
"RM","IDOTRR",5,1963,1963,2010,110000
"RL","Veenker",5,1981,1987,2006,385000
"RL","NAmes",5,1955,1955,2007,130000
"RL","NAmes",5,1964,1964,2008,180500
"FV","Somerst",5,1999,2000,2009,172500
"RL","CollgCr",5,2004,2004,2006,196500
"RL","StoneBr",5,2006,2006,2006,438780
"RL","CollgCr",7,1972,1972,2008,124900
"RL","SawyerW",5,2004,2004,2006,158000
"RM","IDOTRR",7,1920,1996,2007,101000
"RL","NridgHt",5,2006,2006,2007,202500
"RM","OldTown",6,1921,1950,2010,140000
"RL","CollgCr",5,1997,1998,2009,219500
"RL","NridgHt",5,2004,2005,2007,317000
"RL","NAmes",5,1970,1989,2010,180000
"RL","CollgCr",5,2003,2003,2007,226000
"RM","OldTown",6,1945,1950,2010,80000
"RL","ClearCr",4,1953,1953,2006,225000
"RL","NAmes",6,1973,1973,2007,244000
"RL","Mitchel",6,1982,2006,2007,129500
"RL","Gilbert",5,1998,1998,2009,185000
"RL","NAmes",7,1954,2003,2010,144900
"RM","OldTown",6,1915,1950,2010,107400
"RM","MeadowV",5,1973,1973,2009,91000
"RL","NAmes",7,1956,1956,2008,135750
"RM","BrkSide",5,1948,2001,2008,127000
"RL","Sawyer",5,1968,1968,2010,136500
"RM","OldTown",6,1910,1981,2009,110000
"RL","NAmes",6,1968,1968,2009,193500
"RM","Mitchel",5,1998,1998,2006,153500
"RL","Somerst",5,2007,2007,2008,245000
"RL","NAmes",5,1960,1960,2007,126500
"RL","Gilbert",5,1995,1996,2009,168500
"RL","NoRidge",5,1991,1992,2006,260000
"RL","Gilbert",5,2005,2005,2009,174000
"FV","Somerst",5,2009,2009,2009,164500
"C (all)","IDOTRR",2,1915,1982,2009,85000
"RL","CollgCr",5,1994,1995,2007,123600
"RL","NAmes",5,1950,1950,2006,109900
"RL","NAmes",3,1961,1961,2006,98600
"RL","Crawfor",7,1921,2006,2009,163500
"C (all)","OldTown",6,1910,1998,2007,133900
"RL","CollgCr",5,1997,1997,2007,204750
"RL","Gilbert",8,1993,1993,2009,185000
"RL","CollgCr",5,1999,1999,2006,214000
"RL","Edwards",5,1965,1965,2007,94750
"RL","Edwards",5,1920,1950,2010,83000
"RL","NAmes",5,1959,1959,2010,128950
"RL","NWAmes",7,1977,2001,2010,205000
"RL","SawyerW",5,1985,1985,2010,178000
"RL","SawyerW",5,1979,1979,2009,118964
"RL","CollgCr",5,2009,2009,2010,198900
"RM","IDOTRR",4,1931,1950,2007,169500
"FV","Somerst",5,2003,2004,2008,250000
"RM","OldTown",7,1885,1995,2007,100000
"RM","OldTown",5,1948,1950,2008,115000
"RM","IDOTRR",7,1919,2005,2007,115000
"RL","NWAmes",6,1977,1977,2010,190000
"RL","Edwards",4,1954,1972,2006,136900
"RL","Gilbert",5,2000,2000,2010,180000
"RL","CollgCr",5,2007,2007,2007,383970
"RL","Crawfor",5,1953,1953,2007,217000
"RL","Crawfor",8,1945,2002,2007,259500
"FV","Somerst",5,1999,1999,2007,176000
"RL","Sawyer",5,1962,1962,2009,139000
"RL","Edwards",5,2006,2007,2007,155000
"RL","SawyerW",5,1990,1990,2010,320000
"RL","CollgCr",5,2005,2006,2006,163990
"RL","ClearCr",5,1969,1969,2006,180000
"RM","IDOTRR",5,1939,1950,2007,100000
"RL","NAmes",7,1958,1958,2008,136000
"RL","SawyerW",5,1993,1993,2008,153900
"RL","NWAmes",5,1979,1998,2009,181000
"RM","IDOTRR",8,1935,1982,2006,84500
"RL","NPkVill",5,1976,1976,2007,128000
"RM","OldTown",7,1930,1950,2007,87000
"RL","NAmes",5,1966,1966,2006,155000
"RL","NAmes",7,1958,1991,2006,150000
"RL","NAmes",6,1966,1966,2006,226000
"RL","Gilbert",5,2000,2000,2009,244000
"RL","NAmes",6,1959,2002,2007,150750
"RL","Timber",5,2001,2002,2009,220000
"RL","Sawyer",6,1968,1993,2006,180000
"RL","NWAmes",6,1970,1970,2008,174000
"RL","NAmes",5,1967,1967,2007,143000
"RL","Mitchel",5,1988,1989,2006,171000
"RL","CollgCr",5,1999,2000,2008,230000
"RL","CollgCr",5,1997,1997,2009,231500
"RL","NAmes",5,1971,1971,2010,115000
"RL","CollgCr",5,2005,2005,2006,260000
"RL","NAmes",4,1952,1952,2010,166000
"RL","CollgCr",5,1999,1999,2009,204000
"RM","Sawyer",5,1963,1963,2006,125000
"RM","Edwards",5,2004,2006,2006,130000
"RM","BrkSide",7,1931,1993,2009,105000
"RL","Gilbert",5,2001,2001,2010,222500
"RL","SawyerW",5,2004,2005,2008,141000
"RM","BrkSide",4,1936,1950,2006,115000
"RL","CollgCr",6,1975,1975,2007,122000
"RL","NridgHt",5,2007,2008,2008,372402
"RL","NWAmes",5,1971,1971,2006,190000
"RL","ClearCr",7,1960,1975,2008,235000
"RM","OldTown",5,1923,1950,2006,125000
"RL","Edwards",5,1924,1950,2008,79000
"RL","NAmes",7,1950,1950,2006,109500
"RL","Timber",5,2009,2010,2010,269500
"FV","Somerst",5,2004,2005,2010,254900
"RL","Gilbert",5,2005,2006,2006,320000
"RL","Veenker",6,1984,1984,2008,162500
"RL","NridgHt",5,2003,2004,2008,412500
"RL","NridgHt",5,2005,2005,2010,220000
"RL","OldTown",6,1956,1956,2007,103200
"RM","OldTown",7,1926,2004,2007,152000
"RL","Edwards",7,1940,1999,2008,127500
"RL","ClearCr",5,1955,1993,2009,190000
"RL","NridgHt",5,2007,2007,2007,325624
"RL","Gilbert",5,2004,2004,2007,183500
"RL","Timber",6,1981,1981,2006,228000
"RM","OldTown",6,1941,1950,2007,128500
"RL","NAmes",5,1960,1960,2010,215000
"RL","StoneBr",7,1987,1987,2006,239000
"RL","NAmes",5,1961,1961,2008,163000
"RL","Timber",5,1986,1986,2008,184000
"RL","Edwards",7,1950,2001,2007,243000
"RL","ClearCr",5,1988,1989,2007,211000
"RL","Sawyer",5,1958,1958,2006,172500
"RL","StoneBr",5,2008,2009,2009,501837
"RM","OldTown",6,1923,2006,2007,100000
"FV","Somerst",5,2000,2000,2007,177000
"RL","Crawfor",6,1920,1950,2006,200100
"RL","Edwards",6,1957,2006,2007,120000
"RM","OldTown",5,2003,2003,2008,200000
"RL","BrkSide",8,1908,1991,2006,127000
"RM","OldTown",9,1892,1993,2006,475000
"RL","Mitchel",5,1990,1991,2009,173000
"RL","OldTown",7,1916,1987,2009,135000
"RL","SawyerW",5,1979,1979,2009,153337
"RL","StoneBr",5,2001,2002,2008,286000
"RL","Crawfor",8,1932,1994,2007,315000
"RL","NAmes",9,1972,2004,2007,184000
"RL","CollgCr",5,1999,1999,2009,192000
"RM","Edwards",5,2004,2004,2006,130000
"RL","CollgCr",7,1972,1972,2008,127000
"RL","NPkVill",6,1976,1976,2009,148500
"RL","Somerst",5,2007,2007,2007,311872
"RL","NAmes",4,1918,1990,2006,235000
"RM","OldTown",6,1912,1950,2009,104000
"RL","NridgHt",5,2004,2005,2009,274900
"RM","Edwards",5,2003,2004,2010,140000
"RL","Mitchel",6,1977,1977,2008,171500
"RL","OldTown",6,1924,1950,2006,112000
"RM","CollgCr",5,2004,2004,2008,149000
"RM","OldTown",7,1947,1950,2009,110000
"RL","Gilbert",5,1990,1990,2009,180500
"RL","Sawyer",5,1962,1962,2007,143900
"RL","NAmes",5,1960,1960,2008,141000
"RL","SawyerW",5,1988,1989,2007,277000
"RL","NAmes",7,1964,1964,2008,145000
"RL","Edwards",6,1925,1950,2008,98000
"RL","Edwards",5,2009,2009,2010,186000
"FV","Somerst",5,2009,2009,2009,252678
"RL","CollgCr",5,1995,1995,2006,156000
"RL","CollgCr",7,1977,1977,2010,161750
"RL","NAmes",6,1957,1996,2006,134450
"RL","CollgCr",5,2004,2004,2008,210000
"RM","OldTown",4,1925,1950,2006,107000
"RL","Crawfor",9,1939,2006,2008,311500
"RL","Blmngtn",5,2005,2006,2006,167240
"RL","CollgCr",5,2006,2006,2006,204900
"RL","Gilbert",5,2002,2002,2009,200000
"RL","NWAmes",6,1975,1975,2006,179900
"RL","NAmes",6,1971,1971,2009,97000
"RL","NridgHt",5,2003,2003,2009,386250
"RM","BrDale",5,1971,1971,2009,112000
"RL","NoRidge",5,1995,1995,2007,290000
"RM","BrDale",6,1970,1970,2008,106000
"RL","Sawyer",5,1967,1967,2010,125000
"RL","Blmngtn",5,2005,2006,2009,192500
"RL","NAmes",6,1959,1959,2010,148000
"RL","NoRidge",5,1995,1996,2009,403000
"RM","BrDale",5,1972,1972,2006,94500
"RL","CollgCr",6,1976,1976,2010,128200
"RL","Gilbert",5,2002,2002,2010,216500
"RM","BrDale",3,1971,1971,2008,89500
"RL","CollgCr",5,2004,2004,2010,185500
"RL","SawyerW",7,1993,2003,2010,194500
"RL","NridgHt",5,2007,2007,2007,318000
"RL","Edwards",4,1945,1950,2010,113000
"FV","Somerst",5,2008,2008,2010,262500
"RM","OldTown",9,1945,1997,2007,110500
"RM","OldTown",4,1900,1950,2006,79000
"RL","SawyerW",6,1980,1980,2009,120000
"RL","SawyerW",5,1994,2002,2010,205000
"RL","NWAmes",5,1988,1988,2006,241500
"RM","OldTown",8,1910,1950,2006,137000
"RL","NAmes",5,1954,1954,2006,140000
"RL","CollgCr",5,2003,2003,2007,180000
"RL","ClearCr",7,1958,2006,2007,277000
"RL","BrkSide",2,1940,1966,2010,76500
"RM","Crawfor",5,2006,2007,2007,235000
"RL","SawyerW",5,2004,2004,2008,173000
"RL","NAmes",7,1964,1991,2007,158000
"RL","NAmes",6,1957,1957,2010,145000
"RL","Gilbert",5,1999,1999,2006,230000
"FV","Somerst",5,2003,2003,2008,207500
"RL","CollgCr",5,2006,2006,2009,220000
"RL","CollgCr",5,2001,2001,2008,231500
"RM","OldTown",5,1956,1956,2008,97000
"RL","NAmes",5,1962,1962,2009,176000
"RL","CollgCr",5,2007,2007,2007,276000
"RL","Sawyer",7,1977,1995,2006,151000
"RM","OldTown",7,1929,2001,2010,130000
"RM","OldTown",5,1925,2004,2008,73000
"RL","NWAmes",6,1981,1981,2008,175500
"RL","Gilbert",5,1997,1997,2006,185000
"RL","SWISU",8,1939,1997,2008,179500
"RM","IDOTRR",6,1940,1955,2008,120500
"RL","Edwards",7,1976,1976,2007,148000
"FV","Somerst",5,2006,2006,2006,266000
"RL","ClearCr",7,1954,2005,2008,241500
"RL","NoRidge",7,1999,2007,2010,290000
"RL","NAmes",6,1958,1988,2009,139000
"RL","Mitchel",7,1982,1982,2007,124500
"RL","BrkSide",7,1925,2007,2009,205000
"RL","Mitchel",5,2003,2003,2010,201000
"RL","Gilbert",5,1951,1951,2010,141000
"RL","NridgHt",5,2006,2007,2007,415298
"RL","ClearCr",5,1977,1977,2008,192000
"RL","SawyerW",6,1989,1989,2007,228500
"FV","Somerst",5,2006,2006,2006,185000
"RL","NridgHt",5,2007,2008,2009,207500
"RL","Somerst",5,2008,2009,2009,244600
"RL","SawyerW",5,1992,1992,2007,179200
"FV","Somerst",5,2006,2007,2007,164700
"RL","NAmes",7,1962,1981,2006,159000
"RL","NAmes",4,1971,1971,2006,88000
"RL","Sawyer",5,1967,1967,2010,122000
"RL","BrkSide",7,1915,2003,2007,153575
"RL","CollgCr",5,2006,2006,2006,233230
"RL","SWISU",6,1912,2000,2008,135900
"RL","Edwards",4,1949,2008,2009,131000
"RL","NWAmes",7,1977,1994,2006,235000
"RL","NAmes",5,1953,1953,2009,167000
"RL","Mitchel",6,1984,1984,2006,142500
"RM","IDOTRR",5,1950,1950,2007,152000
"FV","Somerst",5,1997,1998,2007,239000
"RL","NWAmes",6,1968,1968,2007,175000
"RL","Crawfor",8,1950,2004,2009,158500
"RL","Crawfor",5,1953,1953,2006,157000
"RL","CollgCr",5,1998,1999,2007,267000
"RL","CollgCr",5,2001,2002,2006,205000
"RL","CollgCr",7,1972,1972,2006,149900
"RM","OldTown",9,1880,2002,2008,295000
"RL","CollgCr",5,2004,2005,2007,305900
"RL","SawyerW",5,1990,1991,2007,225000
"RM","IDOTRR",7,1920,1950,2008,89500
"RL","Edwards",5,1940,1950,2009,82500
"RL","NridgHt",5,2003,2004,2006,360000
"RL","Gilbert",5,1993,1994,2006,165600
"RL","NAmes",6,1948,2002,2009,132000
"RM","OldTown",7,1939,1950,2006,119900
"RL","Timber",5,1965,1965,2009,375000
"RM","OldTown",7,1925,1990,2006,178000
"RL","Gilbert",5,2004,2005,2009,188500
"RL","NWAmes",7,1980,1980,2009,260000
"FV","Somerst",5,2006,2006,2007,270000
"RL","NoRidge",5,1993,1993,2009,260000
"RL","NWAmes",5,1980,1980,2009,187500
"RL","NridgHt",5,2006,2006,2006,342643
"RL","NridgHt",5,2004,2004,2007,354000
"RL","SawyerW",5,1986,1987,2007,301000
"RM","OldTown",8,1955,2005,2006,126175
"RL","NAmes",7,1967,2007,2010,242000
"RM","IDOTRR",6,1941,1950,2007,87000
"RL","Veenker",5,1993,1993,2008,324000
"RL","NAmes",5,1960,1960,2006,145250
"RL","BrkSide",6,1916,1994,2009,214500
"RM","IDOTRR",5,1920,1950,2009,78000
"RL","NAmes",4,1964,1964,2007,119000
"RL","NAmes",6,1958,1992,2007,139000
"RL","NridgHt",5,2003,2004,2009,284000
"RM","NridgHt",5,2004,2004,2008,207000
"RL","Gilbert",5,1998,1998,2008,192000
"RL","Timber",6,1965,1965,2008,228950
"RL","StoneBr",5,2005,2006,2007,377426
"RL","CollgCr",5,2002,2003,2008,214000
"RL","NWAmes",7,1984,1998,2006,202500
"RL","NAmes",7,1958,1998,2009,155000
"RL","Timber",5,2002,2002,2010,202900
"RH","SawyerW",4,1950,1950,2009,82000
"RL","NAmes",4,1949,1950,2006,87500
"RL","NridgHt",5,2005,2005,2008,266000
"RM","MeadowV",3,1976,1976,2010,85000
"RL","BrkSide",5,1939,1950,2006,140200
"RL","NAmes",8,1960,1998,2007,151500
"RL","NAmes",5,1960,1960,2009,157500
"RL","NridgHt",5,2003,2004,2008,154000
"RL","NridgHt",5,2005,2006,2006,437154
"RL","NridgHt",5,2007,2007,2007,318061
"RL","ClearCr",5,1986,1986,2006,190000
"RL","Edwards",6,1941,1950,2008,95000
"RM","OldTown",8,1928,2003,2010,105900
"RL","SWISU",5,1940,2000,2006,140000
"RL","CollgCr",5,1995,1995,2007,177500
"RL","Gilbert",6,1992,1992,2009,173000
"RM","MeadowV",5,1976,1976,2007,134000
"RL","ClearCr",4,1958,1958,2006,130000
"RL","NoRidge",5,1998,1998,2006,280000
"RL","Mitchel",6,1978,1978,2007,156000
"RL","BrkSide",5,1940,1982,2008,145000
"RL","Edwards",5,2003,2003,2009,198500
"RM","BrDale",8,1972,2007,2009,118000
"RL","NWAmes",5,1976,1976,2006,190000
"RM","IDOTRR",7,1920,1997,2009,147000
"RL","NAmes",5,1963,1963,2009,159000
"RL","NAmes",5,1962,1962,2008,165000
"RL","NAmes",6,1954,1954,2010,132000
"RL","NAmes",7,1959,2006,2010,162000
"RL","Gilbert",5,2000,2000,2006,172400
"RL","ClearCr",4,1959,1959,2008,134432
"RL","SawyerW",5,1984,1984,2010,125000
"RL","NAmes",6,1953,1953,2009,123000
"RL","CollgCr",5,2003,2004,2007,219500
"RL","Edwards",1,1922,1950,2009,61000
"RL","CollgCr",5,1996,1996,2006,148000
"FV","Somerst",5,2004,2005,2007,340000
"RL","StoneBr",2,2010,2010,2010,394432
"RL","Gilbert",5,2000,2000,2009,179000
"RL","SWISU",6,1924,1950,2010,127000
"FV","Somerst",5,2006,2006,2006,187750
"RL","CollgCr",5,2006,2006,2007,213500
"RH","SawyerW",3,1928,1950,2009,76000
"RL","ClearCr",5,1992,1992,2007,240000
"RL","Blmngtn",5,2004,2005,2010,192000
"RL","Edwards",3,1910,1996,2006,81000
"RL","Edwards",6,1976,1976,2009,125000
"RL","CollgCr",5,1999,2000,2008,191000
"RL","NridgHt",5,2007,2008,2008,426000
"RL","Edwards",8,1900,1950,2008,119000
"RL","Mitchel",5,2001,2002,2009,215000
"RL","NAmes",7,1959,1959,2007,106500
"RL","BrkSide",5,1941,1950,2006,100000
"RL","OldTown",6,1940,1950,2007,109000
"RL","Edwards",6,1956,1956,2010,129000
"RL","CollgCr",5,1972,1972,2009,123000
"RL","NAmes",5,1962,1962,2007,169500
"RM","IDOTRR",2,1920,1950,2007,67000
"FV","Somerst",5,2006,2007,2009,241000
"RL","Veenker",5,1996,1996,2008,245500
"RL","CollgCr",5,2005,2005,2006,164990
"RL","Sawyer",8,1940,1997,2008,108000
"RL","NoRidge",5,1998,1998,2006,258000
"RL","Gilbert",5,1995,1996,2007,168000
"RL","Sawyer",4,1976,1993,2009,150000
"RL","SWISU",5,1936,1950,2008,115000
"RL","Crawfor",7,1915,1976,2008,177000
"RL","NridgHt",5,2006,2006,2007,280000
"FV","Somerst",5,2007,2008,2008,339750
"RL","Edwards",3,1958,1958,2009,60000
"RL","Gilbert",5,1955,1955,2006,145000
"FV","Somerst",5,2009,2009,2010,222000
"RM","OldTown",6,1927,1950,2010,115000
"RL","SawyerW",5,1993,1993,2008,228000
"RL","Gilbert",5,2007,2007,2007,181134
"RL","Sawyer",7,1978,1978,2006,149500
"RL","Crawfor",6,1918,1950,2007,239000
"RL","Edwards",6,1940,1950,2007,126000
"RL","NAmes",6,1968,1968,2010,142000
"RM","Mitchel",5,1997,1998,2008,206300
"RL","NWAmes",7,1977,2000,2009,215000
"RL","Mitchel",5,1954,1954,2008,113000
"RL","NoRidge",5,1998,1998,2008,315000
"RL","NAmes",5,1956,1956,2008,139000
"RM","OldTown",8,1946,1992,2009,135000
"RL","SawyerW",5,1989,1989,2009,275000
"RL","NAmes",6,1957,1957,2008,109008
"RL","CollgCr",5,2007,2007,2007,195400
"RL","Timber",5,1988,1988,2009,175000
"RM","BrDale",5,1971,1971,2008,85400
"RM","OldTown",7,1920,1998,2008,79900
"RM","BrDale",5,1971,1971,2007,122500
"RL","Gilbert",5,1997,1998,2008,181000
"RM","MeadowV",7,1972,1972,2008,81000
"RL","CollgCr",6,1996,1996,2009,212000
"RM","OldTown",8,1920,1950,2006,116000
"RM","BrkSide",7,1926,2004,2009,119000
"RL","Crawfor",6,1913,2002,2007,90350
"RL","Edwards",8,1920,2000,2009,110000
"RL","NridgHt",5,2008,2008,2009,555000
"RL","Edwards",4,1955,1955,2008,118000
"RM","BrkSide",7,1930,1992,2008,162900
"RL","Blmngtn",5,2006,2007,2007,172500
"RL","CollgCr",5,1994,1995,2008,210000
"RL","Edwards",5,1956,1956,2009,127500
"RL","NAmes",6,1966,2002,2010,190000
"RL","Gilbert",5,1998,1999,2006,199900
"RM","IDOTRR",6,1937,1950,2006,119500
"RM","OldTown",7,1948,2002,2007,120000
"RM","OldTown",8,1930,2005,2006,110000
"RL","ClearCr",5,1975,1975,2006,280000
"RL","Timber",5,1996,1997,2007,204000
"FV","Somerst",5,2008,2008,2009,210000
"RL","Mitchel",5,1976,1976,2006,188000
"RL","NWAmes",6,1973,1973,2007,175500
"RM","OldTown",5,1916,1950,2008,98000
"RL","ClearCr",6,1954,1994,2008,256000
"RM","OldTown",7,1925,1996,2008,161000
"RL","BrkSide",4,1950,1950,2009,110000
"FV","Somerst",5,2009,2009,2009,263435
"RL","SWISU",9,1936,2007,2009,155000
"RL","Sawyer",5,1965,1965,2009,62383
"RL","Crawfor",7,1934,1995,2008,188700
"RL","CollgCr",5,1978,1978,2009,124000
"RM","Blmngtn",5,2004,2004,2006,178740
"RL","NAmes",5,1970,1970,2007,167000
"RL","NAmes",7,1942,1995,2007,146500
"RL","NridgHt",5,2006,2006,2007,250000
"RL","SawyerW",5,1993,1993,2008,187000
"RL","StoneBr",5,1985,1985,2010,212000
"RL","NWAmes",6,1977,1977,2007,190000
"RM","Edwards",5,2005,2005,2008,148000
"RL","NridgHt",5,2006,2007,2007,440000
"RL","StoneBr",5,2000,2000,2007,251000
"RL","Sawyer",6,1963,1963,2007,132500
"RL","CollgCr",5,1997,1998,2008,208900
"RL","NridgHt",5,2006,2006,2007,380000
"RL","CollgCr",5,2007,2008,2009,297000
"RM","OldTown",7,1937,2000,2007,89471
"RL","NridgHt",5,2004,2005,2006,326000
"RL","NridgHt",5,2003,2004,2006,374000
"RM","OldTown",8,1915,2005,2009,155000
"RM","Mitchel",5,1998,1998,2006,164000
"RL","Sawyer",7,1962,2001,2007,132500
